7,12,Red,
6,10,Draw,
6,10,Draw,
6,5,Draw,
7,8,Draw,
9,12,Red,
12,8,Black,
9,12,Red,
6,6,Draw,
4,8,Red,
10,6,Draw,
12,8,Black,
2,12,Red,
6,12,Red,
9,9,Draw,
10,3,Draw,
1,11,Red,
4,12,Red,
8,7,Draw,
9,6,Draw,
9,9,Draw,
9,9,Draw,
4,9,Draw,
4,11,Red,
11,8,Draw,
4,9,Draw,
11,2,Black,
12,7,Black,
12,9,Black,
3,8,Draw,
12,7,Black,
10,7,Draw,
8,8,Draw,
11,8,Black,
11,10,Draw,
5,12,Red,
1,12,Red,
9,9,Draw,
5,9,Draw,
7,9,Draw,
9,11,Red,
3,11,Red,
8,7,Draw,
7,8,Draw,
2,9,Draw,
3,12,Red,
11,10,Draw,
10,12,Red,
7,4,Draw,
0,9,Red,
5,11,Red,
11,4,Black,
8,12,Red,
1,10,Red,
3,12,Red,
8,9,Draw,
10,7,Draw,
7,10,Red,
0,0,Black,
10,12,Red,
10,2,Black,
10,0,Black,
12,5,Black,
8,8,Draw,
7,9,Draw,
11,4,Black,
8,7,Draw,
12,9,Black,
5,12,Red,
12,8,Black,
9,5,Draw,
4,9,Draw,
6,8,Draw,
3,7,Red,
7,10,Draw,
9,9,Draw,
6,9,Draw,
6,7,Draw,
8,7,Draw,
4,11,Red,
9,10,Draw,
8,7,Draw,
1,12,Red,
10,10,Draw,
8,0,Black,
1,2,Red,
10,10,Draw,
9,1,Black,
10,7,Draw,
12,2,Black,
3,12,Red,
6,9,Draw,
11,0,Black,
12,8,Black,
12,2,Black,
12,1,Black,
8,5,Draw,
1,11,Red,
8,12,Red,
0,11,Red,
10,9,Draw,
9,7,Draw,
6,11,Red,
6,9,Draw,
10,4,Draw,
7,7,Draw,
0,7,Red,
12,6,Black,
10,8,Draw,
12,1,Black,
9,11,Draw,
10,1,Black,
9,3,Black,
8,8,Draw,
6,7,Draw,
8,7,Draw,
8,11,Red,
1,10,Red,
8,10,Draw,
1,12,Red,
11,2,Black,
10,9,Draw,
6,12,Red,
2,12,Red,
12,6,Black,
6,7,Draw,
11,4,Black,
3,9,Draw,
7,9,Draw,
11,9,Black,
8,12,Red,
6,12,Red,
7,8,Draw,
10,10,Draw,
5,11,Red,
12,2,Black,
9,12,Red,
9,9,Draw,
4,11,Red,
11,7,Draw,
10,9,Draw,
9,9,Draw,
10,9,Draw,
3,11,Red,
7,7,Draw,
1,12,Red,
10,10,Draw,
8,6,Draw,
4,10,Red,
7,6,Draw,
10,4,Draw,
4,10,Red,
6,9,Draw,
9,8,Draw,
4,11,Red,
9,9,Draw,
1,12,Red,
5,12,Red,
8,10,Draw,
3,11,Red,
12,3,Black,
6,8,Draw,
6,12,Red,
2,9,Red,
7,9,Draw,
7,12,Red,
7,10,Draw,
2,8,Draw,
7,6,Draw,
0,0,Black,
5,11,Draw,
7,9,Draw,
5,9,Draw,
7,10,Draw,
7,7,Draw,
2,10,Red,
12,5,Black,
11,3,Black,
4,12,Red,
11,3,Draw,
9,7,Draw,
3,11,Red,
7,12,Red,
8,8,Draw,
0,0,Black,
10,4,Draw,
7,9,Draw,
7,6,Draw,
7,6,Draw,
11,10,Black,
1,4,Draw,
11,7,Black,
1,11,Red,
12,7,Black,
8,6,Draw,
9,12,Red,
12,1,Black,
8,10,Draw,
12,2,Black,
0,12,Red,
6,11,Red,
