5,12,Red,
10,8,Draw,
11,7,Black,
10,12,Red,
8,5,Draw,
2,11,Red,
12,5,Black,
12,1,Black,
10,6,Draw,
12,4,Black,
9,9,Draw,
11,6,Black,
9,12,Red,
4,9,Red,
12,6,Black,
2,11,Red,
8,7,Draw,
3,11,Red,
5,11,Red,
12,7,Black,
9,8,Draw,
9,8,Draw,
11,7,Black,
10,7,Draw,
10,6,Draw,
11,8,Black,
12,5,Black,
12,8,Black,
12,7,Black,
6,11,Red,
12,7,Black,
8,12,Red,
12,5,Black,
6,12,Red,
12,6,Black,
5,12,Red,
9,7,Draw,
4,12,Red,
4,12,Red,
8,8,Draw,
6,11,Red,
3,11,Red,
4,9,Red,
12,7,Black,
6,9,Draw,
5,12,Red,
12,4,Black,
6,12,Red,
8,7,Draw,
5,6,Draw,
11,3,Black,
12,6,Black,
9,8,Draw,
11,8,Draw,
9,7,Draw,
9,9,Draw,
6,11,Red,
12,7,Black,
7,12,Red,
10,6,Draw,
6,11,Draw,
7,8,Draw,
6,11,Red,
8,9,Draw,
11,8,Draw,
11,8,Draw,
12,6,Black,
11,8,Black,
7,5,Draw,
6,11,Red,
12,5,Black,
12,3,Black,
12,7,Black,
5,11,Red,
12,9,Black,
12,4,Black,
10,12,Red,
6,12,Red,
8,12,Red,
5,12,Red,
5,11,Red,
4,9,Red,
10,7,Draw,
8,5,Draw,
5,9,Red,
10,12,Red,
8,9,Draw,
7,12,Red,
10,8,Draw,
9,6,Draw,
11,5,Black,
12,5,Black,
10,8,Draw,
6,5,Draw,
6,11,Red,
6,7,Draw,
5,11,Red,
7,12,Red,
12,4,Black,
8,7,Draw,
10,7,Draw,
9,10,Draw,
5,12,Red,
6,8,Draw,
6,7,Draw,
8,12,Red,
11,12,Red,
8,9,Draw,
8,6,Draw,
9,5,Draw,
3,11,Red,
8,12,Red,
9,12,Red,
11,12,Red,
5,12,Red,
10,8,Draw,
4,11,Red,
6,11,Red,
4,12,Red,
6,8,Draw,
5,11,Red,
6,12,Red,
10,6,Draw,
4,10,Red,
4,11,Red,
10,7,Draw,
9,8,Draw,
4,6,Draw,
9,11,Red,
5,12,Red,
4,12,Red,
8,11,Red,
7,5,Draw,
9,9,Draw,
11,11,Black,
4,12,Red,
11,8,Draw,
12,4,Black,
11,4,Black,
8,6,Draw,
9,12,Red,
9,12,Red,
12,8,Black,
7,12,Red,
11,7,Draw,
10,9,Draw,
4,11,Red,
9,8,Draw,
7,12,Red,
12,4,Black,
9,8,Draw,
5,11,Red,
9,7,Draw,
6,4,Draw,
4,8,Red,
12,6,Black,
6,8,Draw,
7,12,Red,
6,11,Red,
5,12,Red,
12,7,Black,
12,4,Black,
9,11,Red,
7,12,Red,
8,9,Draw,
3,11,Red,
12,8,Black,
12,5,Black,
12,8,Black,
10,7,Draw,
9,8,Draw,
8,12,Red,
8,12,Red,
6,12,Red,
10,9,Draw,
9,5,Draw,
11,6,Black,
10,6,Draw,
7,12,Red,
7,7,Draw,
6,12,Red,
12,4,Black,
7,11,Red,
8,12,Red,
7,6,Draw,
7,11,Red,
12,7,Black,
4,11,Red,
6,12,Red,
9,12,Red,
8,12,Red,
7,7,Draw,
10,7,Draw,
10,7,Draw,
3,9,Red,
10,6,Draw,
12,8,Black,
5,12,Red,
11,7,Draw,
8,5,Draw,
11,4,Black,
