10,4,Draw,
11,7,Black,
8,12,Red,
11,4,Black,
9,8,Draw,
10,2,Black,
12,4,Black,
8,10,Draw,
11,5,Black,
12,6,Black,
8,9,Draw,
9,2,Black,
12,4,Black,
9,8,Draw,
7,8,Draw,
11,8,Black,
12,7,Black,
11,9,Black,
12,4,Black,
12,9,Black,
9,8,Draw,
11,7,Black,
12,4,Black,
12,3,Black,
11,3,Black,
9,9,Draw,
6,9,Draw,
11,6,Black,
8,12,Red,
11,6,Black,
12,6,Black,
8,9,Draw,
8,11,Red,
4,12,Red,
7,9,Draw,
11,8,Black,
12,3,Black,
9,4,Black,
9,10,Draw,
10,3,Black,
10,11,Draw,
3,5,Draw,
12,4,Black,
9,9,Draw,
12,6,Black,
12,8,Black,
12,3,Black,
12,4,Black,
12,3,Black,
7,12,Red,
7,10,Draw,
7,8,Draw,
12,7,Black,
8,8,Draw,
11,3,Black,
11,5,Black,
12,3,Black,
12,4,Black,
8,8,Draw,
12,9,Black,
12,4,Black,
12,8,Black,
10,6,Draw,
11,6,Black,
3,12,Red,
12,7,Black,
12,9,Black,
6,12,Red,
12,8,Black,
12,5,Black,
8,6,Draw,
10,3,Black,
11,3,Black,
12,2,Black,
12,2,Black,
11,5,Black,
8,9,Draw,
11,8,Black,
9,3,Black,
12,7,Black,
12,8,Black,
10,8,Black,
12,7,Black,
12,3,Black,
12,5,Black,
9,6,Draw,
10,4,Black,
12,4,Black,
11,5,Black,
12,7,Black,
11,3,Black,
8,7,Draw,
12,5,Black,
7,12,Red,
7,12,Red,
12,6,Black,
8,9,Draw,
10,2,Black,
12,6,Black,
12,5,Black,
12,6,Black,
4,12,Red,
12,4,Black,
9,4,Black,
9,7,Draw,
9,8,Draw,
11,10,Black,
12,6,Black,
11,4,Black,
7,9,Draw,
9,4,Black,
12,8,Black,
12,5,Black,
12,7,Black,
12,5,Black,
7,7,Draw,
11,3,Black,
12,7,Black,
12,6,Black,
6,8,Draw,
11,9,Black,
9,11,Draw,
10,4,Black,
12,2,Black,
7,8,Draw,
9,5,Black,
7,12,Red,
7,8,Draw,
12,7,Black,
12,3,Black,
12,8,Black,
12,6,Black,
9,2,Black,
12,7,Black,
9,8,Draw,
12,3,Black,
11,8,Black,
12,3,Black,
12,7,Black,
9,7,Draw,
6,11,Red,
12,4,Black,
12,2,Black,
12,6,Black,
8,9,Draw,
9,6,Draw,
11,7,Black,
9,10,Draw,
11,6,Black,
12,7,Black,
8,6,Draw,
4,10,Draw,
9,7,Draw,
12,2,Black,
12,3,Black,
8,12,Red,
12,9,Black,
12,6,Black,
12,9,Black,
11,3,Black,
12,5,Black,
7,8,Draw,
10,2,Black,
11,5,Black,
12,8,Black,
12,6,Black,
12,4,Black,
9,3,Black,
12,4,Black,
11,3,Black,
12,2,Black,
6,10,Draw,
11,5,Black,
12,5,Black,
7,10,Draw,
8,9,Draw,
11,4,Black,
12,6,Black,
11,3,Black,
8,7,Draw,
10,5,Draw,
3,11,Red,
12,7,Black,
12,3,Black,
12,8,Black,
7,9,Draw,
8,7,Draw,
9,6,Draw,
7,7,Draw,
11,6,Black,
9,9,Draw,
6,9,Draw,
10,5,Black,
11,6,Black,
12,3,Black,
12,7,Black,
12,9,Black,
9,4,Black,
8,8,Draw,
11,8,Black,
5,12,Red,
